,SWE
2003-10-31,0.0
2003-11-30,0.02716290266218499
2003-12-31,0.1777768970146978
2004-01-31,0.0902545772656844
2004-02-29,0.13834048980540065
2004-03-31,-0.18576551517595596
2004-04-30,-0.1593451900817568
2004-05-31,-0.07393209368074859
2004-06-30,-0.013886770982168492
2004-07-31,-0.0006052968273379725
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0557519189914271
2004-11-30,0.016691849430681728
2004-12-31,0.12833812392241456
2005-01-31,0.1778589716808396
2005-02-28,0.08913613938961928
2005-03-31,0.12578722726679503
2005-04-30,-0.10450278248107908
2005-05-31,-0.3166591648828379
2005-06-30,-0.13843839533115615
2005-07-31,-0.03396388798670418
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0008271174733752509
2005-12-31,0.13261086447792592
2006-01-31,0.1623659751253124
2006-02-28,0.013337417022146913
2006-03-31,0.24450004124845232
2006-04-30,-0.0450722024823228
2006-05-31,-0.3357083210569093
2006-06-30,-0.1533921735204886
2006-07-31,-0.019468718287492116
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,6.776263578034403e-21
2006-11-30,0.0180488103699104
2006-12-31,0.044837607901499044
2007-01-31,0.019194280969869332
2007-02-28,0.15666396096596608
2007-03-31,-0.14497866715660113
2007-04-30,-0.06295989037747807
2007-05-31,-0.030290365705034003
2007-06-30,-0.0005157369681316577
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0002211809199419089
2007-10-31,-0.0002186860375306754
2007-11-30,-2.4948824112334044e-06
2007-12-31,0.0986027052124844
2008-01-31,0.27487621564137343
2008-02-29,0.1340569416051512
2008-03-31,-0.08289541754425489
2008-04-30,-0.25172709088730594
2008-05-31,-0.14923922415046326
2008-06-30,-0.02367412987698495
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,-2.710505431213761e-20
2008-11-30,0.0
2008-12-31,0.14911546796644176
2009-01-31,0.04304046441963899
2009-02-28,0.10539780531322612
2009-03-31,0.01431748596903698
2009-04-30,-0.19702267626586667
2009-05-31,-0.11083188290954898
2009-06-30,-0.004016664492928194
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,4.743384504624082e-20
2009-11-30,0.020663478489900383
2009-12-31,0.12770995534022275
2010-01-31,0.1250941308487889
2010-02-28,0.036345737849952264
2010-03-31,-0.013805499680706323
2010-04-30,-0.007292125589989207
2010-05-31,-0.1382818558005981
2010-06-30,-0.1411184106344317
2010-07-31,-0.009315410823138963
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,5.94933500297524e-05
2010-11-30,0.1522700214196874
2010-12-31,0.15357228540867848
2011-01-31,-0.01906358124259311
2011-02-28,0.23715790525887126
2011-03-31,0.19305169906661668
2011-04-30,-0.2287872925957431
2011-05-31,-0.18080166191254793
2011-06-30,-0.21199757308702652
